"REF_DATE","GEO","DGUID","Storage","Statistics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2016-02","Alberta","2016A000248","Other adjustments","Cubic metres","Cubic metres","72","thousands","3","v107028654","5.6.1","16972.0","","","","1"
"2016-02","Alberta","2016A000248","Other adjustments","Gigajoules","Gigajoules","143","thousands","3","v107028655","5.6.2","-255.1","","","","1"
"2016-02","British Columbia","2016A000259","Opening inventory","Cubic metres","Cubic metres","72","thousands","3","v107028656","6.1.1","1250309.0","","","","1"
"2016-02","British Columbia","2016A000259","Opening inventory","Gigajoules","Gigajoules","143","thousands","3","v107028657","6.1.2","48562.0","","","","1"
"2016-02","British Columbia","2016A000259","Closing inventory","Cubic metres","Cubic metres","72","thousands","3","v107028658","6.2.1","1030003.0","","","","1"
"2016-02","British Columbia","2016A000259","Closing inventory","Gigajoules","Gigajoules","143","thousands","3","v107028659","6.2.2","40005.3","","","","1"
"2016-02","British Columbia","2016A000259","Inventory change","Cubic metres","Cubic metres","72","thousands","3","v107028660","6.3.1","-220306.0","","","","1"
"2016-02","British Columbia","2016A000259","Inventory change","Gigajoules","Gigajoules","143","thousands","3","v107028661","6.3.2","-8556.7","","","","1"
"2016-02","British Columbia","2016A000259","Injections to storage","Cubic metres","Cubic metres","72","thousands","3","v107028662","6.4.1","633.0","","","","1"
"2016-02","British Columbia","2016A000259","Injections to storage","Gigajoules","Gigajoules","143","thousands","3","v107028663","6.4.2","24.6","","","","1"
"2016-02","British Columbia","2016A000259","Withdrawals from storage","Cubic metres","Cubic metres","72","thousands","3","v107028664","6.5.1","220836.0","","","","1"
"2016-02","British Columbia","2016A000259","Withdrawals from storage","Gigajoules","Gigajoules","143","thousands","3","v107028665","6.5.2","8577.3","","","","1"
"2016-02","British Columbia","2016A000259","Other adjustments","Cubic metres","Cubic metres","72","thousands","3","v107028666","6.6.1","-103.0","","","","1"
"2016-02","British Columbia","2016A000259","Other adjustments","Gigajoules","Gigajoules","143","thousands","3","v107028667","6.6.2","-4.0","","","","1"
"2016-03","Canada","2016A000011124","Opening inventory","Cubic metres","Cubic metres","72","thousands","3","v107028596","1.1.1","20472652.0","","","","1"
"2016-03","Canada","2016A000011124","Opening inventory","Gigajoules","Gigajoules","143","thousands","3","v107028597","1.1.2","800346.9","","","","1"
"2016-03","Canada","2016A000011124","Closing inventory","Cubic metres","Cubic metres","72","thousands","3","v107028598","1.2.1","21006678.0","","","","1"
"2016-03","Canada","2016A000011124","Closing inventory","Gigajoules","Gigajoules","143","thousands","3","v107028599","1.2.2","820999.4","","","","1"
"2016-03","Canada","2016A000011124","Inventory change","Cubic metres","Cubic metres","72","thousands","3","v107028600","1.3.1","534027.0","","","","1"
"2016-03","Canada","2016A000011124","Inventory change","Gigajoules","Gigajoules","143","thousands","3","v107028601","1.3.2","20652.5","","","","1"
"2016-03","Canada","2016A000011124","Injections to storage","Cubic metres","Cubic metres","72","thousands","3","v107028602","1.4.1","1034753.0","","","","1"
"2016-03","Canada","2016A000011124","Injections to storage","Gigajoules","Gigajoules","143","thousands","3","v107028603","1.4.2","40653.2","","","","1"
"2016-03","Canada","2016A000011124","Withdrawals from storage","Cubic metres","Cubic metres","72","thousands","3","v107028604","1.5.1","438798.0","","","","1"
"2016-03","Canada","2016A000011124","Withdrawals from storage","Gigajoules","Gigajoules","143","thousands","3","v107028605","1.5.2","17102.2","","","","1"
"2016-03","Canada","2016A000011124","Other adjustments","Cubic metres","Cubic metres","72","thousands","3","v107028606","1.6.1","-61928.0","","","","1"
"2016-03","Canada","2016A000011124","Other adjustments","Gigajoules","Gigajoules","143","thousands","3","v107028607","1.6.2","-2898.6","","","","1"
"2016-03","Quebec","2016A000224","Opening inventory","Cubic metres","Cubic metres","72","thousands","3","v107028608","2.1.1","335009.0","","","","1"
"2016-03","Quebec","2016A000224","Opening inventory","Gigajoules","Gigajoules","143","thousands","3","v107028609","2.1.2","12727.0","","","","1"
"2016-03","Quebec","2016A000224","Closing inventory","Cubic metres","Cubic metres","72","thousands","3","v107028610","2.2.1","316399.0","","","","1"
"2016-03","Quebec","2016A000224","Closing inventory","Gigajoules","Gigajoules","143","thousands","3","v107028611","2.2.2","12020.0","","","","1"
"2016-03","Quebec","2016A000224","Inventory change","Cubic metres","Cubic metres","72","thousands","3","v107028612","2.3.1","-18610.0","","","","1"
"2016-03","Quebec","2016A000224","Inventory change","Gigajoules","Gigajoules","143","thousands","3","v107028613","2.3.2","-707.0","","","","1"
"2016-03","Quebec","2016A000224","Injections to storage","Cubic metres","Cubic metres","72","thousands","3","v107028614","2.4.1","0.0","","","","1"
"2016-03","Quebec","2016A000224","Injections to storage","Gigajoules","Gigajoules","143","thousands","3","v107028615","2.4.2","0.0","","","","1"
"2016-03","Quebec","2016A000224","Withdrawals from storage","Cubic metres","Cubic metres","72","thousands","3","v107028616","2.5.1","18610.0","","","","1"
"2016-03","Quebec","2016A000224","Withdrawals from storage","Gigajoules","Gigajoules","143","thousands","3","v107028617","2.5.2","707.0","","","","1"
"2016-03","Quebec","2016A000224","Other adjustments","Cubic metres","Cubic metres","72","thousands","3","v107028618","2.6.1","0.0","","","","1"
"2016-03","Quebec","2016A000224","Other adjustments","Gigajoules","Gigajoules","143","thousands","3","v107028619","2.6.2","0.0","","","","1"
"2016-03","Ontario","2016A000235","Opening inventory","Cubic metres","Cubic metres","72","thousands","3","v107028620","3.1.1","5403680.0","","","","1"
"2016-03","Ontario","2016A000235","Opening inventory","Gigajoules","Gigajoules","143","thousands","3","v107028621","3.1.2","205623.5","","","","1"
"2016-03","Ontario","2016A000235","Closing inventory","Cubic metres","Cubic metres","72","thousands","3","v107028622","3.2.1","5520744.0","","","","1"
"2016-03","Ontario","2016A000235","Closing inventory","Gigajoules","Gigajoules","143","thousands","3","v107028623","3.2.2","209815.9","","","","1"
"2016-03","Ontario","2016A000235","Inventory change","Cubic metres","Cubic metres","72","thousands","3","v107028624","3.3.1","117064.0","","","","1"
"2016-03","Ontario","2016A000235","Inventory change","Gigajoules","Gigajoules","143","thousands","3","v107028625","3.3.2","4192.4","","","","1"
"2016-03","Ontario","2016A000235","Injections to storage","Cubic metres","Cubic metres","72","thousands","3","v107028626","3.4.1","164506.0","","","","1"
"2016-03","Ontario","2016A000235","Injections to storage","Gigajoules","Gigajoules","143","thousands","3","v107028627","3.4.2","6252.0","","","","1"
"2016-03","Ontario","2016A000235","Withdrawals from storage","Cubic metres","Cubic metres","72","thousands","3","v107028628","3.5.1","54195.0","","","","1"
"2016-03","Ontario","2016A000235","Withdrawals from storage","Gigajoules","Gigajoules","143","thousands","3","v107028629","3.5.2","2059.7","","","","1"
"2016-03","Ontario","2016A000235","Other adjustments","Cubic metres","Cubic metres","72","thousands","3","v107028630","3.6.1","6754.0","","","","1"
"2016-03","Ontario","2016A000235","Other adjustments","Gigajoules","Gigajoules","143","thousands","3","v107028631","3.6.2","0.0","","","","1"
"2016-03","Saskatchewan","2016A000247","Opening inventory","Cubic metres","Cubic metres","72","thousands","3","v107028632","4.1.1","439057.0","","","","1"
"2016-03","Saskatchewan","2016A000247","Opening inventory","Gigajoules","Gigajoules","143","thousands","3","v107028633","4.1.2","17132.0","","","","1"
"2016-03","Saskatchewan","2016A000247","Closing inventory","Cubic metres","Cubic metres","72","thousands","3","v107028634","4.2.1","432599.0","","","","1"
"2016-03","Saskatchewan","2016A000247","Closing inventory","Gigajoules","Gigajoules","143","thousands","3","v107028635","4.2.2","16880.0","","","","1"
"2016-03","Saskatchewan","2016A000247","Inventory change","Cubic metres","Cubic metres","72","thousands","3","v107028636","4.3.1","-6458.0","","","","1"
"2016-03","Saskatchewan","2016A000247","Inventory change","Gigajoules","Gigajoules","143","thousands","3","v107028637","4.3.2","-252.0","","","","1"
"2016-03","Saskatchewan","2016A000247","Injections to storage","Cubic metres","Cubic metres","72","thousands","3","v107028638","4.4.1","0.0","","","","1"
"2016-03","Saskatchewan","2016A000247","Injections to storage","Gigajoules","Gigajoules","143","thousands","3","v107028639","4.4.2","0.0","","","","1"
"2016-03","Saskatchewan","2016A000247","Withdrawals from storage","Cubic metres","Cubic metres","72","thousands","3","v107028640","4.5.1","6458.0","","","","1"
"2016-03","Saskatchewan","2016A000247","Withdrawals from storage","Gigajoules","Gigajoules","143","thousands","3","v107028641","4.5.2","252.0","","","","1"
"2016-03","Saskatchewan","2016A000247","Other adjustments","Cubic metres","Cubic metres","72","thousands","3","v107028642","4.6.1","0.0","","","","1"
"2016-03","Saskatchewan","2016A000247","Other adjustments","Gigajoules","Gigajoules","143","thousands","3","v107028643","4.6.2","0.0","","","","1"
"2016-03","Alberta","2016A000248","Opening inventory","Cubic metres","Cubic metres","72","thousands","3","v107028644","5.1.1","13264903.0","","","","1"
"2016-03","Alberta","2016A000248","Opening inventory","Gigajoules","Gigajoules","143","thousands","3","v107028645","5.1.2","524859.1","","","","1"
"2016-03","Alberta","2016A000248","Closing inventory","Cubic metres","Cubic metres","72","thousands","3","v107028646","5.2.1","13871614.0","","","","1"
"2016-03","Alberta","2016A000248","Closing inventory","Gigajoules","Gigajoules","143","thousands","3","v107028647","5.2.2","548674.4","","","","1"
